id,datetime,visitor_id,device_type,device_name,revenue,tax
1,2019-10-05 00:00:00,1016870803637,1,Desktop,173.3314596961336,0.19
2,2019-10-11 00:00:00,48076008851343,4,Unknown,290.10535175922513,0.07
3,2019-08-19 00:00:00,72300317870324,2,Tablet,511.4181420476257,0.07
4,2019-10-14 00:00:00,84516511452821,3,Mobile Phone,593.8755045649982,0.19
5,2019-09-10 00:00:00,44780848857001,3,Mobile Phone,674.2801956714196,0.07
6,2019-09-20 00:00:00,54145933160851,2,Tablet,59.736283745390196,0.07
7,2019-10-13 00:00:00,68564288760762,4,Unknown,512.0134481572289,0.19
8,2019-10-22 00:00:00,74593067572606,2,Tablet,170.14154434317973,0.07
9,2019-08-12 00:00:00,74912374801029,4,Unknown,862.7377112288809,0.07
10,2019-10-25 00:00:00,67206600864292,4,Unknown,29.665909406771274,0.07
11,2019-10-28 00:00:00,72257448527137,4,Unknown,337.8129959788193,0.19
12,2019-08-16 00:00:00,31161783828987,2,Tablet,893.7967769244418,0.07
13,2019-09-21 00:00:00,74019332491246,3,Mobile Phone,172.42644517824425,0.07
14,2019-10-19 00:00:00,97387717610795,4,Unknown,680.3345850760237,0.07
15,2019-09-03 00:00:00,45101854301536,4,Unknown,254.56788770179506,0.19
16,2019-08-07 00:00:00,39618162285184,4,Unknown,178.45406035096167,0.19
17,2019-09-22 00:00:00,79503222532643,3,Mobile Phone,262.04741924104104,0.07
18,2019-11-01 00:00:00,47711898936813,4,Unknown,934.9268811121353,0.07
19,2019-10-27 00:00:00,27411965646696,3,Mobile Phone,153.64248377511558,0.07
20,2019-09-14 00:00:00,79047396341564,3,Mobile Phone,692.2406476246132,0.19
21,2019-10-19 00:00:00,11315178096070,3,Mobile Phone,454.7341037967879,0.19
22,2019-10-16 00:00:00,24012466194495,1,Desktop,269.69127065290786,0.19
23,2019-09-19 00:00:00,17029684917498,1,Desktop,641.0621015714399,0.07
24,2019-09-14 00:00:00,59005300724987,2,Tablet,18.85446336390395,0.19
25,2019-10-23 00:00:00,96729202710375,2,Tablet,415.3622212214476,0.07
26,2019-09-18 00:00:00,13585562094666,2,Tablet,651.8292077113063,0.07
27,2019-09-07 00:00:00,51653737316798,2,Tablet,643.342337974177,0.07
28,2019-09-26 00:00:00,6224970231388,3,Mobile Phone,764.2974433333836,0.19
29,2019-09-06 00:00:00,86017690185412,2,Tablet,761.6973317859122,0.19
30,2019-09-05 00:00:00,30526682294845,2,Tablet,124.58779921036023,0.07
31,2019-10-10 00:00:00,52164460431246,2,Tablet,730.8992412609637,0.07
32,2019-09-12 00:00:00,2086917030708,1,Desktop,519.4360533711985,0.19
33,2019-10-13 00:00:00,55711069540774,2,Tablet,305.51344963995916,0.07
34,2019-08-07 00:00:00,69512920708889,4,Unknown,161.38927760440103,0.19
35,2019-09-22 00:00:00,81079023380836,2,Tablet,240.37997744006447,0.07
36,2019-10-15 00:00:00,43129968770844,2,Tablet,903.9940787921128,0.19
37,2019-10-09 00:00:00,3979029989679,3,Mobile Phone,481.2938915754198,0.07
38,2019-08-11 00:00:00,25662618227295,2,Tablet,272.57185994385924,0.07
39,2019-10-02 00:00:00,84878295639931,2,Tablet,930.0074967698654,0.07
40,2019-08-13 00:00:00,96481967263931,3,Mobile Phone,476.48545403216326,0.07
41,2019-09-01 00:00:00,5912788198719,1,Desktop,5.159177339339682,0.19
